shipment_id,shipment_date,origin,destination,transport_mode,distance_km,cargo_weight_tons,transit_time_hours,carrier,emissions_kg_co2e,fuel_consumed_liters,delivery_status
SH-2024-0076,2024-02-07,Siem Reap,Bangkok,truck,420,22,10,Kerry Express,2100,290,Delivered
SH-2024-0077,2024-02-08,Qingdao,Antwerp,ship,17200,950,528,Evergreen,168000,62000,Delivered
SH-2024-0078,2024-02-08,Pattaya,Singapore,truck,1200,48,28,SCG Logistics,6000,830,Delivered
SH-2024-0079,2024-02-09,Tianjin,Felixstowe,ship,17500,980,540,COSCO,172000,63000,Delivered
SH-2024-0080,2024-02-09,Lombok,Singapore,ship,1420,240,96,ONE,14200,5200,Delivered
SH-2024-0081,2024-02-10,Xiamen,Los Angeles,ship,10800,850,480,CMA CGM,128000,46000,Delivered
SH-2024-0082,2024-02-10,Padang,Singapore,ship,680,210,72,PIL,6800,2500,Delivered
SH-2024-0083,2024-02-11,Dalian,Hamburg,ship,18200,1020,552,Maersk,182000,67000,Delivered
SH-2024-0084,2024-02-11,Malacca,Port Klang,truck,120,28,4,Pos Malaysia,680,95,Delivered
SH-2024-0085,2024-02-12,Shenzhen,New York,ship,12500,920,516,Evergreen,145000,53000,Delivered
SH-2024-0086,2024-02-12,Manado,Singapore,ship,1820,280,108,OOCL,18200,6700,Delivered
SH-2024-0087,2024-02-13,Chongqing,Duisburg,rail,10200,480,264,China Railway Express,25000,7500,Delivered
SH-2024-0088,2024-02-13,Kota Bharu,Singapore,truck,520,32,14,DHL,2600,360,Delivered
SH-2024-0089,2024-02-14,Guangzhou,Rotterdam,ship,17800,1050,540,COSCO,175000,64000,Delivered
SH-2024-0090,2024-02-14,Ipoh,Singapore,truck,420,28,11,J&T Express,2100,290,Delivered
